Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population_Staying_at_Home,Population_Not_Staying_at_Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Row ID
County,2021/05/02,17,IL,17019,Champaign County,44037,165652,717847,203510,187645,91360,99362,85671,25262,15467,7919,883,768,17-17019-20210502
County,2021/05/03,17,IL,17019,Champaign County,40980,168709,900139,265466,244393,111101,122373,114428,25438,11725,4229,423,563,17-17019-20210503
County,2021/05/04,17,IL,17019,Champaign County,42066,167623,839459,213308,249786,108292,112876,107970,29106,12210,4739,541,631,17-17019-20210504
County,2021/05/05,17,IL,17019,Champaign County,42598,167091,928665,246930,260366,123710,127053,122992,27193,14652,4693,571,505,17-17019-20210505
County,2021/05/06,17,IL,17019,Champaign County,40725,168964,939148,277183,256439,119041,123573,118616,26403,11994,4914,469,516,17-17019-20210506
County,2021/05/07,17,IL,17019,Champaign County,40234,169455,925300,251530,258915,116755,123344,123448,28681,13970,7452,678,527,17-17019-20210507
County,2021/05/08,17,IL,17019,Champaign County,41555,168134,819256,222406,218813,100616,109201,113090,30653,16166,7186,484,641,17-17019-20210508
County,2021/05/09,17,IL,17019,Champaign County,45045,164644,700689,178804,196539,83226,102131,92852,22004,13996,9751,651,735,17-17019-20210509
County,2021/05/10,17,IL,17019,Champaign County,42552,167137,901815,254058,245434,119750,120200,117715,26763,12596,4229,610,460,17-17019-20210510
County,2021/05/11,17,IL,17019,Champaign County,41901,167788,872513,224110,244876,122397,123385,114441,24620,12159,5493,383,649,17-17019-20210511
County,2021/05/12,17,IL,17019,Champaign County,42572,167117,953996,268331,261560,122083,132827,122849,26431,13630,4963,501,821,17-17019-20210512
County,2021/05/13,17,IL,17019,Champaign County,42189,167500,883334,220959,255031,118675,129584,113521,25968,13109,5394,470,623,17-17019-20210513
County,2021/05/14,17,IL,17019,Champaign County,40824,168865,923479,246175,260372,119523,126768,119031,26280,16158,7402,1103,667,17-17019-20210514
County,2021/05/15,17,IL,17019,Champaign County,40391,169298,814903,211796,214214,99557,124528,108362,30825,16522,7910,602,587,17-17019-20210515
County,2021/05/16,17,IL,17019,Champaign County,43479,166210,702612,179882,178558,94747,106101,92101,26094,15380,8108,982,659,17-17019-20210516
County,2021/05/17,17,IL,17019,Champaign County,42685,167004,849247,228419,236916,113212,113608,114721,25447,11132,4546,666,580,17-17019-20210517
County,2021/05/18,17,IL,17019,Champaign County,41709,167980,837702,242586,218794,112147,116963,107153,21818,11842,5227,395,777,17-17019-20210518
County,2021/05/19,17,IL,17019,Champaign County,41861,167828,883930,238357,249245,114049,124941,112148,25229,12931,5929,497,604,17-17019-20210519
County,2021/05/20,17,IL,17019,Champaign County,42534,167155,889508,225085,241022,124839,133560,116624,27481,14178,5571,469,679,17-17019-20210520
County,2021/05/21,17,IL,17019,Champaign County,40637,169052,885846,230551,243776,116079,126440,117444,27993,14624,7438,804,697,17-17019-20210521
County,2021/05/22,17,IL,17019,Champaign County,42198,167491,788639,200094,211486,104401,112160,99802,32658,18632,8153,703,550,17-17019-20210522
County,2021/05/23,17,IL,17019,Champaign County,43117,166572,781790,230401,213039,96063,113089,81920,26163,12769,6457,955,934,17-17019-20210523
County,2021/05/24,17,IL,17019,Champaign County,41567,168122,874118,252301,234348,104663,130419,108422,25416,11543,5657,531,818,17-17019-20210524
County,2021/05/25,17,IL,17019,Champaign County,42632,167057,805344,190724,227072,101680,126791,113802,27078,12082,5047,436,632,17-17019-20210525
County,2021/05/26,17,IL,17019,Champaign County,42035,167654,788853,236686,205041,93953,107168,100882,22652,15276,6178,357,660,17-17019-20210526
County,2021/05/27,17,IL,17019,Champaign County,40351,169338,879333,224472,232119,111617,132569,127927,28337,14363,6918,484,527,17-17019-20210527
County,2021/05/28,17,IL,17019,Champaign County,39942,169747,770087,178050,212398,99411,119034,108477,28990,13519,8562,1103,543,17-17019-20210528
County,2021/05/29,17,IL,17019,Champaign County,42415,167274,731055,166297,206774,104810,116845,89800,23101,12429,9356,947,696,17-17019-20210529
County,2021/05/30,17,IL,17019,Champaign County,43530,166159,714761,168097,191449,93634,115946,100108,24425,12797,6681,644,980,17-17019-20210530
County,2021/05/31,17,IL,17019,Champaign County,43501,166188,748002,219433,199219,95397,103206,83806,24123,11809,9097,1014,898,17-17019-20210531
County,2021/06/01,17,IL,17019,Champaign County,41360,168329,839968,212107,240584,104106,124621,113196,24669,13316,5969,661,739,17-17019-20210601
County,2021/06/02,17,IL,17019,Champaign County,41927,167762,805450,226908,217156,101948,112645,103612,24372,12256,5257,506,790,17-17019-20210602
County,2021/06/03,17,IL,17019,Champaign County,42576,167113,862438,216490,256756,117943,121377,107026,23363,13140,5351,481,511,17-17019-20210603
County,2021/06/04,17,IL,17019,Champaign County,41021,168668,846934,218474,233417,110783,128976,102689,28843,13579,8593,686,894,17-17019-20210604
County,2021/06/05,17,IL,17019,Champaign County,41995,167694,760997,188812,218382,99181,100600,94562,33519,16209,8171,677,884,17-17019-20210605
County,2021/06/06,17,IL,17019,Champaign County,43397,166292,723262,202404,189116,89005,97613,88772,29377,16492,8761,885,837,17-17019-20210606
County,2021/06/07,17,IL,17019,Champaign County,41516,168173,916248,260328,251492,113396,126508,122728,24517,10938,5284,534,523,17-17019-20210607
County,2021/06/08,17,IL,17019,Champaign County,41414,168275,864565,215762,237616,118464,121421,125750,26015,12541,6097,478,421,17-17019-20210608
County,2021/06/09,17,IL,17019,Champaign County,41570,168119,849861,217863,232962,105960,126299,121086,25536,12981,6166,568,440,17-17019-20210609
County,2021/06/10,17,IL,17019,Champaign County,41741,167948,827556,237029,219177,106762,113378,107304,23746,12656,6341,533,630,17-17019-20210610
County,2021/06/11,17,IL,17019,Champaign County,40167,169522,880620,231056,242855,120615,124548,111473,27982,12506,8333,632,620,17-17019-20210611
County,2021/06/12,17,IL,17019,Champaign County,40745,168944,798846,215118,209006,111225,105373,102650,31507,15196,7586,623,562,17-17019-20210612
County,2021/06/13,17,IL,17019,Champaign County,44695,164994,717370,183977,199610,99914,100668,83728,24060,14551,9391,762,709,17-17019-20210613
County,2021/06/14,17,IL,17019,Champaign County,42083,167606,816597,212469,232670,105014,114897,108033,23558,12940,6068,406,542,17-17019-20210614
County,2021/06/15,17,IL,17019,Champaign County,41661,168028,884078,234268,257888,113443,125846,109079,26206,10229,6081,401,637,17-17019-20210615
County,2021/06/16,17,IL,17019,Champaign County,42771,166918,841701,220202,231923,120312,118584,108180,24941,10658,5960,422,519,17-17019-20210616
County,2021/06/17,17,IL,17019,Champaign County,42048,167641,873676,246110,244254,115508,118224,106299,24287,12299,5556,475,664,17-17019-20210617
County,2021/06/18,17,IL,17019,Champaign County,38647,171042,918390,251546,245324,116683,128328,123597,28578,15281,7762,743,548,17-17019-20210618
County,2021/06/19,17,IL,17019,Champaign County,41054,168635,799309,224639,193730,103959,118188,101956,31028,16185,8484,691,449,17-17019-20210619
County,2021/06/20,17,IL,17019,Champaign County,43239,166450,677781,178023,174589,87059,101915,80683,27422,16626,9893,980,591,17-17019-20210620
County,2021/06/21,17,IL,17019,Champaign County,41726,167963,876136,249825,232290,111555,123349,113114,25669,13146,6040,642,506,17-17019-20210621
County,2021/06/22,17,IL,17019,Champaign County,42201,167488,788593,201252,219447,104802,116012,102892,23776,12769,6378,573,692,17-17019-20210622
County,2021/06/23,17,IL,17019,Champaign County,41957,167732,823997,217383,220338,112404,127445,102778,24256,12291,5990,565,547,17-17019-20210623
County,2021/06/24,17,IL,17019,Champaign County,39983,169706,881696,250480,232286,106684,130103,117954,24851,12390,5881,539,528,17-17019-20210624
County,2021/06/25,17,IL,17019,Champaign County,38584,171105,919677,266135,241348,111349,128496,117953,31067,14370,7773,692,494,17-17019-20210625
County,2021/06/26,17,IL,17019,Champaign County,39887,169802,855537,247418,207383,100229,133820,108603,33790,15969,7142,609,574,17-17019-20210626
